"","X","user_name","user_verified","date","text","hashtags","hashtags_count","retweets","favorites","compound_score","positive_score","negative_score","neutral_score","popularity_score","popularity_score_ctg","overall_sentiment","tweet_age"
"3438",3438,"👑Shabnam👑✝️🇺🇸 John14:6","False","2021-01-19"," CDC probing death of Florida doctor who took COVID-19 vaccine ","['PfizerBioNTech']",1,1,4,-0.5994,0,0.302,0.698,1.75,"AVG","NEG",38
"3441",3441,"The Epoch Times","True","2021-01-16","55 people in the US have died after receiving a for according to reports submitted to a federal… ","['Vaccine', 'COVID19']",2,678,654,-0.5574,0,0.175,0.825,672,"HIGH","NEG",35
"3443",3443,"FutureGhost","False","2021-01-15","Norway says there are risks that may be too risky for the very old and terminally sick, afte… ","['COVID19', 'vaccinations']",2,2,2,-0.7351,0,0.324,0.676,2,"AVG","NEG",34
"3446",3446,"Darby Suess — 🚫D🚫R +🇺🇸!! #countrybeforeparty","False","2021-01-15","qualified and experienced in administering vaccines to vaccinate our nation! Mandate waived liability and for those… ","",1,0,1,-0.2714,0,0.122,0.878,0.25,"LOW","NEG",34
"3450",3450,"Zara King","True","2021-01-15"," understands the dose interval for is due to change from 2… ","['BREAKING', 'PfizerBioNTech', 'CovidVaccine']",2,52,214,0,0,0,1,92.5,"HIGH","NEU",34
"3452",3452,"Harrogate Harlow Physiotherapy & Rehabilitation 💙","False","2021-01-15","All of our staff have received the first dose of their COVID 19 vaccine this week. Thank you to the amazing team… ","",1,1,17,0.743,0.24,0,0.76,5,"AVG","POS",34
"3454",3454,"Back Stronger 💪","False","2021-01-15","Anyone else shattered all the time since having their 😩","['PfizerBioNTech', 'PfizerVaccine', 'PfizerCovidVaccine', 'vaccineUK']",2,0,0,-0.6369,0,0.366,0.634,0,"LOW","NEG",34
"3456",3456,"Emma Powell 🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿","False","2021-01-15"," all done 👏👏💉💉 ","['COVID19', 'PfizerBioNTech', 'vaccine']",2,0,8,0,0,0,1,2,"AVG","NEU",34
"3461",3461,"Mrs. Y.","False","2021-01-15","HackRead: 🚨 The leaked data is now circulating on hacker forums including Russian-speaking ones. (From… ","['vaccine']",1,0,0,-0.3182,0,0.126,0.874,0,"LOW","NEG",34
"3462",3462,"Lara Fuentes","False","2021-01-15","Today I got my vaccine 💉 A little bit tired after 24H on call but happy 😃 ","['COVIDVaccination']",1,0,26,0.8171,0.295,0.064,0.64,6.5,"AVG","POS",34
"3463",3463,"Charlieboy68 #KBF #Exvaxer 😃","False","2021-01-15","As they say in the ""Science World"", never let your findings, interfere with your funding...😏 ","['monsanto']",1,2,1,0,0,0,1,1.75,"AVG","NEU",34
"3466",3466,"3 Seas Rooster","False","2021-01-15"," had received 129,860 doses of and vaccines from the EU and had vaccinated over 96… ","['Hungary', 'PfizerBioNTech', 'Moderna']",2,1,3,0,0,0,1,1.5,"AVG","NEU",34
"3467",3467,"Ambani Mohlabeng 🇿🇦","False","2021-01-15","Am definitely taking no vaccine. You go scream your lungs out you want 🤚 ","['Pfizer', 'AstraZeneca', 'Sinovac']",2,0,0,0.3182,0.299,0.203,0.498,0,"LOW","POS",34
"3468",3468,"MerryJane🚷","False","2021-01-15","This is **You can find Brant GRINER on FB If you wanna hear… ","['PfizerBioNTech', 'PfizerCovidVaccine', 'Covid_19', 'vaccine']",2,0,0,0,0,0,1,0,"LOW","NEU",34
"3469",3469,"SHASHANK Sharma","False","2021-01-15","covidvaccine SYMPTOMS OF MY SISTER AFTER GETTING PFIZER COVID VACCINE 2021 ","['PfizerVaccine']",1,1,2,0,0,0,1,1.25,"AVG","NEU",34
"3471",3471,"New Straits Times","True","2021-01-15"," Registration for for Malaysians will be opened soon, Health Minister Datuk Seri Dr… ","['NSTnation', 'Covid19', 'vaccination']",2,7,3,0,0,0,1,6,"AVG","NEU",34
"3472",3472,"Loves Truth & Art #FreeSpeech","False","2021-01-15","Johns Hopkins Scientist: ‘A Medical Certainty’ Pfizer Vaccine Caused Death of Florida Doctor… ","",1,1,2,-0.5994,0,0.245,0.755,1.25,"AVG","NEG",34
"3476",3476,"Sophie","False","2021-01-15","Getting my Vaccine tomorrow, little scary but it must be done ","['KickCoronasArse', 'PfizerBioNTech']",2,0,3,-0.2391,0,0.163,0.837,0.75,"LOW","NEG",34
"3479",3479,"Doc Ifti MD","False","2021-01-15"," S/p my second dose and WOW it definitely knocked me off of my feet. Interesting the variability i… ","['ThursdayThoughts']",1,0,6,0.873,0.398,0,0.602,1.5,"AVG","POS",34
"3489",3489,"HL","False","2021-01-14","First Covid vaccine done 💉 ✔️ E… ","['covidvaccine2021', 'PfizerBioNTech', 'COVID19', 'YsbytyEnfys', 'Llandudno']",3,1,4,0,0,0,1,1.75,"AVG","NEU",33
"3490",3490,"Anonymous🐾🎗️ 🏴","False","2021-01-14","😷💉The leaked data is now circulating on hacker forums including Russian-speaking ones.… ","['vaccine']",1,3,4,-0.3182,0,0.133,0.867,3.25,"AVG","NEG",33
"3500",3500,"betty","False","2021-01-14","One dose down 💉 one to go 😎 Thank you to all frontline workers and everyone at… ","['COVID19', 'vaccine', 'PfizerBioNTech']",2,0,11,0.6705,0.234,0,0.766,2.75,"AVG","POS",33
"3501",3501,"James Forrester","False","2021-01-14","Lucky enough to gain my super powers today. Possibly post-nights delirium, but spent the day smiling at how impre… ","",1,0,28,0.8608,0.413,0,0.587,7,"AVG","POS",33
"3502",3502,"Gràinne McSteen","False","2021-01-14","Great tools and advice for pregnant women and their healthcare providers about vaccine during pregn… ","['PfizerBioNTech']",1,0,0,0.6249,0.227,0,0.773,0,"LOW","POS",33
"3507",3507,"CalmYourSillyHaase","False","2021-01-14"," I received my 2nd dose yesterday. ","['PfizerBioNTech', 'KalamazooRepresent']",2,0,3,0,0,0,1,0.75,"LOW","NEU",33
"3508",3508,"UCR Science News","False","2021-01-14","How do Why are 2 doses needed? Is the 2nd dose necessary? ThisQ&amp;A explains:… ","['mRNA', 'COVIDー19', 'vaccineswork']",2,1,4,0,0,0,1,1.75,"AVG","NEU",33
"3512",3512,"Boettcher Lab","False","2021-01-14","Just 12 hours until I will get my vaccine😀","['PfizerBioNTech']",1,0,7,0.3612,0.2,0,0.8,1.75,"AVG","POS",33
"3522",3522,"Beautiful Mind","False","2021-01-14"," Vaccine for Vaccine For ✌️✌️✌️✌️✌️✌️✌️✌️✌️✌️","['PfizerBionTech', 'IRAN', 'moderna', 'IRAN']",2,0,0,0,0,0,1,0,"LOW","NEU",33
"3524",3524,"💙🐉RACH🐉💙","False","2021-01-14","1st dose ✅ ","['CovidVaccine', 'PfizerBioNTech']",2,0,4,0,0,0,1,1,"LOW","NEU",33
"3525",3525,"HackRead.com","False","2021-01-14","🚨 The leaked data is now circulating on hacker forums including Russian-speaking ones. (From More… ","['vaccine']",1,22,18,-0.3182,0,0.126,0.874,21,"HIGH","NEG",33
"3527",3527,"Frederick Young","False","2021-01-14","Had my first dose today, second due in April ","['PfizerBioNTech', 'CovidVaccine', 'bookyourvaccine']",2,0,11,0,0,0,1,2.75,"AVG","NEU",33
"3528",3528,"Zeina Abu Orabi","False","2021-01-14","Got my COVID vaccine today! ","['vaccine', 'PfizerBioNTech', 'CoronaVaccine']",2,0,5,0,0,0,1,1.25,"AVG","NEU",33
"3529",3529,"MI6 ROGUE👥","False","2021-01-14","You can now read the Hack here: ","['PfizerVaccine', 'PfizerBioNTech', 'coronavirus']",2,5,11,0,0,0,1,6.5,"AVG","NEU",33
"3534",3534,"CHEManager International","False","2021-01-14","Laboratory tests have shown the vaccine is effective against 16 covid variants, including a key… ","['PfizerBioNTech']",1,1,2,0.4767,0.181,0,0.819,1.25,"AVG","POS",33
"3535",3535,"Sandra SmithMND","False","2021-01-14","Today my dad had his first All the staff at The Bousfield Surgery in… ","['COVID19', 'PfizerBioNTech', 'vaccination']",2,2,8,0,0,0,1,3.5,"AVG","NEU",33
"3537",3537,"Fiore DiNotte","False","2021-01-14","""Protection"" and ""efficacy"" need to be clarified. Antibodies need to be neutralizing and must not induce antibody… ","",1,0,0,0,0,0,1,0,"LOW","NEU",33
"3538",3538,"Fiore DiNotte","False","2021-01-14","""Protection"" and ""efficacy"" need to be clarified. Antibodies need to be neutralizing and must not induce antibody… ","",1,0,2,0,0,0,1,0.5,"LOW","NEU",33
"3542",3542,"Rasan Remzi 😷","False","2021-01-14","President Erdogan gets Covid-19 vaccine ""Within our ongoing successful vaccination program, 254 thousand healthca… ","",1,1,2,0.5859,0.226,0,0.774,1.25,"AVG","POS",33
"3544",3544,"Carissa Vinovskis, MS","False","2021-01-14","Apparently the vaccine only works if there’s a selfie to prove you got it. Beyond grateful. ","['PfizerBioNTech']",1,0,52,0.4588,0.167,0,0.833,13,"HIGH","POS",33
"3545",3545,"Embassy of Malaysia in Santiago","False","2021-01-14","🇨🇱 received new shipment of 8⃣8⃣,7⃣2⃣5⃣ vaccines 💉, destined for the regions of Atacama, Arica, Ant… ","['PfizerBioNTech']",1,0,0,0,0,0,1,0,"LOW","NEU",33
"3546",3546,"Brandon Tripp","False","2021-01-14","I received the 2nd dose of the Pfizer a few days ago. I have not had any severe adverse reactions. Da… ","['CovidVaccine']",1,0,26,-0.0813,0.092,0.106,0.802,6.5,"AVG","NEG",33
"3547",3547,"Megan DeLaire","False","2021-01-14","If you know or someone you know is on the fence about receiving one of the approved COVID-19 vaccines, maybe this i… ","",1,0,0,0.4215,0.118,0,0.882,0,"LOW","POS",33
"3549",3549,"Rose Webster","False","2021-01-14"," Hope it's not too late for all the &amp; DEATHS caused by Pg… ","['VaccineInjuries', 'PfizerBioNTech', 'CovidVaccine']",2,2,1,0.4404,0.195,0,0.805,1.75,"AVG","POS",33
"3550",3550,"HSE Mid West Community Healthcare","False","2021-01-14","101 year old Bridget (Biddy) Connolly from Meanus, Co. Limerick, the first resident at St Ita’s Community Nursing U… ","",1,7,28,0,0,0,1,12.25,"HIGH","NEU",33
"3551",3551,"David Mclenachan","False","2021-01-14","4,000 💉 and counting... ","['PfizerBioNTech']",1,4,46,0,0,0,1,14.5,"HIGH","NEU",33
"3553",3553,"Jacqueline Pullos, COMT, OSC, CTC","False","2021-01-14","Second Covid vaccine, 14 hours ago (Pfizer) - side effects: so far, no different from first vaccine. Just a sore… ","",1,0,1,-0.3566,0,0.115,0.885,0.25,"LOW","NEG",33
"3556",3556,"dieter michalek","False","2021-01-14","Covid-19 ","['Impfung', 'impfungen', 'COVIDー19', 'Corona', 'CoronaImpfung', 'BioNTech', 'Pfizer', 'PfizerBioNTech', 'bayern', 'bavaria']",3,1,6,0,0,0,1,2.25,"AVG","NEU",33
"3563",3563,"UZH Medical Virology","False","2021-01-14","Our clinical colleagues in Infectious Diseases who treat patients have started to get their… ","['COVID19']",1,0,7,0.4019,0.172,0,0.828,1.75,"AVG","POS",33
"3566",3566,"Cate Cammack","False","2021-01-14","Just had my first dose of the vaccine. Feeling very, very grateful. ","['PfizerBioNTech', 'Ihavebeenvaccinated']",2,1,8,0.6214,0.336,0,0.664,2.75,"AVG","POS",33
"3568",3568,"Melissa coleman","False","2021-01-14","First Pfizer covid 19 vaccine dose done ✅ very proud! ","['PfizerBioNTech', 'CovidVaccine']",2,0,0,0.5697,0.235,0,0.765,0,"LOW","POS",33
"3575",3575,"Dada Yadav Tripathi","False","2021-01-16","Being a citizen of most beautiful city of the world kanpur, I have one very serious question: Guru vaccine lagane k… ","",1,0,2,0.5574,0.169,0.064,0.767,0.5,"LOW","POS",35
"3577",3577,"DT Next","True","2021-01-16"," has launched a detailed investigation after 23 elderly patients died after taking the mRNA… ","['Norway', 'Pfizer']",2,0,0,-0.4767,0.088,0.211,0.702,0,"LOW","NEG",35
"3578",3578,"League of India - The INDIC POST Of The World","False","2021-01-16"," - 23 people die in after receiving officials Doctors th… ","['horror', 'BreakingNews', 'Norway', 'Pfizer', 'COVID19', 'vaccine']",3,0,0,-0.5994,0,0.302,0.698,0,"LOW","NEG",35
"3581",3581,"🏭Coal+Diesel⛽️=dead","False","2021-01-16","🦠💉More than 80% of the elderly population in got the first shot💉🦠 ","['Israel', 'COVID19', 'Covidioten', 'covid', 'Covid_19']",3,1,2,0,0,0,1,1.25,"AVG","NEU",35
"3584",3584,"Gregory","False","2021-01-16","Meanwhile the Vaccine is also causing death to Portuguese health-workers! I think I'll try… ","['PfizerBioNTech', 'CoVid19']",2,4,4,-0.636,0,0.244,0.756,4,"AVG","NEG",35
"3585",3585,"Ken Chan (he/him)","False","2021-01-16","THX to civil servants at and at Toronto’s hospitals, residents, essential care givers a… ","['TeamVaccine']",1,0,3,0.8455,0.454,0,0.546,0.75,"LOW","POS",35
"3589",3589,"Joanne Imwalle","False","2021-01-16"," 2nd vaccine thank you! ","['thisisourshot', 'Pfizer', 'PfizerBioNTech']",2,0,2,0.4199,0.482,0,0.518,0.5,"LOW","POS",35
"3590",3590,"Jody Vance","True","2021-01-16","Friday night fill-in for includes a HUGE induction into UN for champion of the impoverished,… ","",1,5,20,0.7865,0.348,0,0.652,8.75,"AVG","POS",35
"3593",3593,"The Diane Kramer","False","2021-01-16","Ain't no thang like a second dose of COVID Vaccine🧡 ","['MultipleSclerosis', 'PfizerBioNTech', 'CovidVaccine']",2,3,48,0.7851,0.468,0,0.532,14.25,"HIGH","POS",35
"3594",3594,"Oceanside News","False","2021-01-16","There are 118 active cases in the central island region, a decrease of six since yesterday.… ","['COVID19']",1,0,0,0.4019,0.153,0,0.847,0,"LOW","POS",35
"3599",3599,"Reuben Collings RN QN 💙","False","2021-01-15","Delighted to have received my first today. I hope this is the beginning of being able to return to no… ","['CovidVaccine']",1,1,7,0.7351,0.256,0,0.744,2.5,"AVG","POS",34
"3601",3601,"Lucy Stun (she/her/hers)","False","2021-01-15","Completed dose ✌🏽of the COVID vaccine on Tues. I felt good enough to continue rounding with the ama… ","['PfizerBioNTech']",1,0,15,0.7269,0.234,0,0.766,3.75,"AVG","POS",34
"3602",3602,"Brendan Wylie","False","2021-01-15"," Great work by the Victorian Government to secure the proven vaccine, while our Federal Gov… ","['PfizerBioNTech']",1,1,5,0.7579,0.333,0,0.667,2,"AVG","POS",34
"3603",3603,"Alicia Johnson","False","2021-01-15","Pt 1 - Moderna Pfizer is NOT a Vaccine. It’s a Biologic aka Gene Therapy and this is what it’s doing to Nurses!!… ","",1,1,2,0,0,0,1,1.25,"AVG","NEU",34
"3611",3611,"Ion Vuc","False","2021-01-15","If there are enough raw material to produce or vaccines, but we are limited only by their… ","['PfizerBioNTech', 'Moderna']",2,0,0,-0.3291,0,0.128,0.872,0,"LOW","NEG",34
"3618",3618,"STOPCOMMONPASS.ORG","False","2021-01-15"," lets get some things clear. products are legally not 'vaccines'.… ","['PfizerBioNTech', 'Moderna', 'COVID19']",2,4,3,0.4588,0.333,0,0.667,3.75,"AVG","POS",34
"3620",3620,"STOPCOMMONPASS.ORG","False","2021-01-15","UPDATED: Fair warning, the majority of mainstream media &amp; pro individuals will give you all the… ","['immunitypassports']",1,7,13,-0.0258,0.123,0.128,0.749,8.5,"AVG","NEU",34
"3621",3621,"ANONYMOUS | ANONOPS | ANONYMOUS OPERATION |📡","False","2021-01-15"," following the December cyberattack on find a lot of confidential data and emails about the… ","['Anonymous', 'AEM']",2,43,55,0,0,0,1,46,"HIGH","NEU",34
"3622",3622,"ILKHA","True","2021-01-15","Turkey’s death toll from COVID-19 reaches 23,664 ","['CoronaVac', 'Turkey', 'Sinovac', 'PfizerBioNTech']",2,2,7,-0.5719,0.119,0.386,0.495,3.25,"AVG","NEG",34
"3625",3625,"Sharon Gayoso","False","2021-01-15"," Horrendous; total mismanagement; zero organization; making the elderly wait hours on end in the sun, no… ","",1,0,0,-0.5859,0,0.202,0.798,0,"LOW","NEG",34
"3628",3628,"Ian 3.5% #FBPE","False","2021-01-15"," I had my 1st dose of 9 days ago due to my work. 2nd one is 9 weeks later, I'm not too… ","['PfizerBioNTech']",1,1,72,0,0,0,1,18.75,"HIGH","NEU",34
"3630",3630,"Maz 👩‍🔬🖤🩸🔬","False","2021-01-15","I’ve had my vaccine. The injection site did bleed &amp; bruise and boy has my body reacted to the vacci… ","['PfizerBioNTech']",1,0,6,0,0,0,1,1.5,"AVG","NEU",34
"3631",3631,"Financial Mirror","False","2021-01-15"," confirmed will temporarily cut deliveries to Europe of its Next delivery… ","['Cyprus', 'PfizerBioNTech', 'COVID19', 'vaccine']",2,1,2,-0.2732,0,0.174,0.826,1.25,"AVG","NEG",34
"3635",3635,"Phil Tank","True","2021-01-15","After slowdown, Premier Scott More expresses concern, urges approval of other… ","['PfizerBioNTech', 'Saskatchewan']",2,0,0,0.4767,0.237,0,0.763,0,"LOW","POS",34
"3638",3638,"Transition Services","False","2021-01-15","What a day! Proud to have been redeployed to support delivery working with amazing staff a… ","['PfizerBioNTech']",1,7,36,0.8718,0.432,0,0.568,14.25,"HIGH","POS",34
"3641",3641,"Igor Matovic","True","2021-01-15","Increasing the production of vaccines is a welcome step when numbers are small and few other vaccin… ","['PfizerBioNTech']",1,2,43,0.4588,0.158,0,0.842,12.25,"HIGH","POS",34
"3643",3643,"Nicole Barriball","False","2021-01-15","Another day vaccinating front line health and social care staff and over 80s alongside my full time job as a mental… ","",1,0,17,0.4939,0.138,0,0.862,4.25,"AVG","POS",34
"3644",3644,"@samillaiee now not on tiktok too!","False","2021-01-15"," PLEASE can you respond to my concerns FULL VIDEO IN LINK Two reasons I ref… ","",1,0,0,0.4648,0.178,0,0.822,0,"LOW","POS",34
"3645",3645,"Cair","False","2021-01-15","First Covid jab done... Next one in 12 weeks. The NHS are quite simply, amazing. ","['CovidUK', 'COVID19', 'COVIDー19']",2,0,0,0.6222,0.226,0,0.774,0,"LOW","POS",34
"3653",3653,"Omon Imohi","False","2021-01-15","After receiving my vaccine I was asked to stick around for 15 minutes incase of any reaction. Fortunately, there wa… ","",1,0,2,0,0,0,1,0.5,"LOW","NEU",34
"3654",3654,"Omon Imohi","False","2021-01-15","V * A * C* C * I * N * A * T* E*D 💉💃💃💃 I recieved my first dose of the pfizer covid vaccine today and I am feeling… ","",1,2,15,0,0,0,1,5.25,"AVG","NEU",34
"3655",3655,"Dr Knut Moe","False","2021-01-15","Feeling privileged to have had 1st dose of vaccine today. Huge sense of relief and euphoria, hopef… ","['PfizerBioNTech']",1,4,333,0.9201,0.54,0,0.46,86.25,"HIGH","POS",34
"3658",3658,"malicgawn 🏴󠁧󠁢󠁷󠁬󠁳󠁿","False","2021-01-15"," Or and could choose to use their stock of vaccine in one or… ","['PfizerBioNTech']",1,0,3,0,0,0,1,0.75,"LOW","NEU",34
"3660",3660,"Irish Columbans","False","2021-01-15","Good News! Covid vaccine roll out at Dalgan Nursing Home via Missionaries… ","",1,1,9,0.4926,0.225,0,0.775,3,"AVG","POS",34
"3667",3667,"karamozov haters n°2654","False","2021-01-15"," speculates on the vaccine BNT ! They take us for idiots. Name and shame on /… ","['Pfizer', 'Pfizer']",2,0,0,-0.5255,0,0.184,0.816,0,"LOW","NEG",34
"3668",3668,"Debbie Wardhaugh","False","2021-01-15","Had mine wednesday 💉💉 after administering to patients 💪🏻 ","['feelinglucky', 'covidvaccine', 'PfizerBioNTech']",2,2,25,0,0,0,1,7.75,"AVG","NEU",34
"3671",3671,"Nazifa Rahman","False","2021-01-15","Finally William Shakespeare got vaccine 😀 ","['vaccine', 'Pfizer', 'AstraZeneca', 'PfizerBioNTech', 'CovidVaccine', 'vaccination']",3,1,1,0.3612,0.294,0,0.706,1,"LOW","POS",34
"3672",3672,"Syed Akbar","False","2021-01-15","According to Strategic Advisory Group of Experts on the mRNA… ","['Immunization', 'PfizerBioNTech', 'COVIDー19']",2,1,4,0,0,0,1,1.75,"AVG","NEU",34
"3673",3673,"malicgawn 🏴󠁧󠁢󠁷󠁬󠁳󠁿","False","2021-01-15","While the rest of the world (including Scotland) are vaccinating vulnerable care home residents with… ","",1,0,0,0.3182,0.177,0.105,0.718,0,"LOW","POS",34
"3674",3674,"Sanjay Mishra","False","2021-01-15","It’s not often that you get a medal for rolling the sleeves, but thanks to the rush of antibodies from… ","",1,0,8,0.7096,0.247,0,0.753,2,"AVG","POS",34
"3675",3675,"Tamer Yazar","False","2021-01-15"," started vaccinating health workers and public servants against ! The Health Ministry is plannin… ","['Indonesia', 'COVID19']",2,0,0,0,0,0,1,0,"LOW","NEU",34
"3679",3679,"Federico Rodenas","False","2021-01-15"," to temporarily reduce deliveries to Europe. Deliveries of the would… ","['Pfizer', 'Covidvaccine', 'PfizerBioNTech', 'vaccine']",2,0,0,0,0,0,1,0,"LOW","NEU",34
"3680",3680,"Wolfie Smith","False","2021-01-15","At uclh getting my vaccination thank you . It’s good to get it done. Painless and professional.","['PfizerBioNTech']",1,0,12,0.765,0.352,0,0.648,3,"AVG","POS",34
"3685",3685,"Zara King","True","2021-01-15"," 💉 🇮🇪 HSE Confirms changes to dose intervals from 21 to 28 days In a statement to… ","['LATEST', 'PfizerBioNTech']",2,11,16,0,0,0,1,12.25,"HIGH","NEU",34
"3686",3686,"Katie MacQueen, VTA","False","2021-01-15","LOOK WHAT I GOT ","['PfizerBioNTech', 'CovidVaccine', 'socialresponsibility', 'spaceballs']",2,0,1,0,0,0,1,0.25,"LOW","NEU",34
"3687",3687,"Jane Brown","False","2021-01-15","Israel's COVID-19 vaccine success in part due to use of technology to book appointments &amp; a prominent media campaig… ","",1,3,7,0.7184,0.261,0,0.739,4,"AVG","POS",34
"3689",3689,"Nihar Palan","False","2021-01-15","What a day it was yesterday. Supporting Mass Vaccination Clinic Lords Ground as a vaccinator. Hurcul… ","",1,0,4,0.4404,0.162,0,0.838,1,"LOW","POS",34
"3690",3690,"Paul Madden","False","2021-01-15","THANK, SCIENCE! ","['covidvacccine', 'pfizerbiontech']",2,0,7,0.4199,0.736,0,0.264,1.75,"AVG","POS",34
"3691",3691,"Marc B.","False","2021-01-15","More than 20 people with the died in - ","['vaccinated', 'PfizerBioNTech', 'vaccine', 'NORWAY']",2,12,8,-0.5574,0,0.31,0.69,11,"HIGH","NEG",34
"3695",3695,"Fat Cat","False","2021-01-15"," I was reading somewhere that pain in the arm is a very common side effect of… ","",1,0,0,-0.5106,0,0.18,0.82,0,"LOW","NEG",34
"3696",3696,"ILKHA","True","2021-01-15","Coronavirus: Iran reports 6,485 new cases, 83 deaths in the last 24 hours ","['Iran', 'Corona', 'Sinovac', 'PfizerBioNTech']",2,1,3,0,0,0,1,1.5,"AVG","NEU",34
"3698",3698,"ᴛᴇʀʀᴏʀʙʏᴛᴇ 🔴","False","2021-01-21","Why is the UK Gov going against the advice of vaccine manufacturers regarding the interval between doses?… ","",1,0,2,0,0,0,1,0.5,"LOW","NEU",40
"3704",3704,"TheRag","False","2021-01-19"," Plans To Purchase 300-million More Vaccines ","['EU', 'Covid19', 'covidvaccines', 'Pfizer']",2,1,0,0,0,0,1,0.75,"LOW","NEU",38
"3710",3710,"Rachel Waters 💙","False","2021-01-17","I'm 10 days post my first vaccine Hopefully I'm now developing antibodies.","['PfizerBioNTech']",1,0,9,0.4019,0.197,0,0.803,2.25,"AVG","POS",36
"3711",3711,"รђ๏๏lเภ #SaveKonark","False","2021-01-17","Norway vaccine fatalities among people 75 and older rise to 29 - Times of India ","['Pfizer', 'PfizerBioNTech']",2,0,6,-0.5994,0,0.218,0.782,1.5,"AVG","NEG",36
"3712",3712,"vαℓεηтιηα 😷","False","2021-01-17","Second Vaccine done!🦠💉 ","['CoronaVaccine', 'vaccine', 'Vaccino', 'PfizerBioNTech', 'Impfung']",3,0,3,0,0,0,1,0.75,"LOW","NEU",36
"3715",3715,"Great Scott 💙 !","False","2021-01-17","I've been reliably informed that the vaccine only works with products and that the… ","['PfizerBioNTech']",1,0,0,0,0,0,1,0,"LOW","NEU",36
"3718",3718,"DPiouPiouD_(asap)✖️","False","2021-01-17"," Site officiel du CDC americain ⬇️🤡 ","['PasseportVacinal', 'covid19', 'Covid19Vaccine', 'PfizerBioNTech']",2,0,0,0,0,0,1,0,"LOW","NEU",36
"3723",3723,"Paul Charles","False","2021-01-17","Encouraging news from with infections down two weeks after receiving first dose of wil… ","['Israel', 'PfizerBioNTech', 'UK']",2,15,164,0.5267,0.207,0,0.793,52.25,"HIGH","POS",36
"3725",3725,"Juj","False","2021-01-17"," You are only giving half the vaccine!! 2 doses equals the vaccine !!!!!! ","['vaccine', 'PfizerBioNTech', 'AstraZeneca']",2,0,0,0.5526,0.229,0,0.771,0,"LOW","POS",36
"3726",3726,"Kate Gorman","False","2021-01-17","Who’d have thought that I’d one day be vaccinating with my mum? It feels amazing to be doing our bit to help, but I… ","",1,2,4,0.5023,0.162,0,0.838,2.5,"AVG","POS",36
"3732",3732,"Healthwire","False","2021-01-17","Think You Know What Happened in Norway?? Think Again ","['Norway', 'PfizerBioNTech', 'COVID19Vaccination', 'coronavirus']",2,3,3,0,0,0,1,3,"AVG","NEU",36
"3736",3736,"New Straits Times","True","2021-01-17"," in begin receiving ","['NSTnation', 'Malaysians', 'Singapore', 'Covid19', 'vaccine', 'PfizerBioNTech']",3,13,35,0,0,0,1,18.5,"HIGH","NEU",36
"3737",3737,"Klaus Bower","False","2021-01-17"," they will ","['Pfizer', 'reduce', 'production', 'vaccines', 'truthful', 'PfizerBioNTech', 'hope', 'deliver', 'more']",3,0,0,0,0,0,1,0,"LOW","NEU",36
"3738",3738,"Volley4Lyf","False","2021-01-17","Latest count 38 deaths who have been vaccinated by ","['Pfizer', 'CovidVaccine', 'VaccineDeaths', 'Germany', 'PfizerBioNTech']",3,0,0,0,0,0,1,0,"LOW","NEU",36
"3740",3740,"DaCon","False","2021-01-17","now the propaganda wars begin. bashing va… ","['CovidVaccine', 'China', 'Sinovac', 'PfizerBioNTech', 'Moderna', 'mRNA', 'coronavirus']",3,0,0,-0.6808,0,0.528,0.472,0,"LOW","NEG",36
"3742",3742,"ActivistBowen","False","2021-01-17","also, why are all these deaths happening in ONE place???hashtag THREE (January 16, 2021; 23:32 HKT) ","['PFIZERvaccine', 'PFIZERBIONTECH', 'NORWAY']",2,0,0,0,0,0,1,0,"LOW","NEU",36
"3744",3744,"The Citrus Bean 😷","False","2021-01-16","Adverse reactions to the vaccine - Norwegian medicines agency said it had recorded 23 deaths “assoc… ","['PfizerBioNTech']",1,0,0,-0.3612,0,0.143,0.857,0,"LOW","NEG",35
"3747",3747,"The Nurse Bromo 🐝","False","2021-01-16","Second dose of vaccine today ✅ I will keep y’all updated if you want on my experience. Dose given… ","['PfizerBioNTech']",1,5,263,0.0772,0.058,0,0.942,69.5,"HIGH","POS",35
"3748",3748,"Charles Adler","True","2021-01-16","This story is not aging well. Hoping procurement minister can put the toothpaste back in the tube. The news from… ","",1,24,66,-0.4847,0,0.187,0.813,34.5,"HIGH","NEG",35
"3749",3749,"Usmaan Hafiz","False","2021-01-16"," this why registered hcp such and nurses and pharmacist need to be involved with the planning and su… ","",1,2,22,0,0,0,1,7,"AVG","NEU",35
"3751",3751,"Peter of The Awakened 🙏🏻🌈🙏🏻","False","2021-01-16"," And we must not forget that justice ⚖️ needs to be forthcoming for ","['SoniaAcevedo']",1,0,0,-0.2755,0.101,0.169,0.73,0,"LOW","NEG",35
"3752",3752,"BB coffee","False","2021-01-16","By preventing and coming to Iran, We can call Mr. 's act as treason.… ","['PfizerBioNTech', 'oxfordastrazeneca', 'Khamenei']",2,0,1,-0.0258,0,0.078,0.922,0.25,"LOW","NEU",35
"3753",3753,"🍄 Ｃａｌｌｙ Ｄａｙ","False","2021-01-16"," I had my first last Friday.","['PfizerBioNTech']",1,0,1,0,0,0,1,0.25,"LOW","NEU",35
