"","X","user_name","user_verified","date","text","hashtags","hashtags_count","retweets","favorites","compound_score","positive_score","negative_score","neutral_score","popularity_score","popularity_score_ctg","overall_sentiment","tweet_age"
"3501",3501,"James Forrester","False","2021-01-14","Lucky enough to gain my super powers today. Possibly post-nights delirium, but spent the day smiling at how impre… ","",1,0,28,0.8608,0.413,0,0.587,7,"AVG","POS",33
"654",654,"Joel Bissell","False","2020-12-18","Hear what the first . had to say after receiving the vaccine… ","['FrontLineHero', 'PfizerBioNTech', 'COVID19']",2,0,0,0,0,0,1,0,"LOW","NEU",6
"7630",7630,"Martin Duenas","False","2021-03-29","Messenger RNA ( The and vaccines are very effective in real-worl… ","['mRNA', 'COVID19', 'vaccines', 'Moderna', 'PfizerBioNTech']",3,0,0,0.5256,0.253,0,0.747,0,"LOW","POS",107
"2155",2155,"Financial Mirror","False","2021-01-02","Editorial: Having entered the health centre for with a mask, the president made ma… ","['PfizerBioNTech', 'vaccine', 'Cyprus']",2,2,2,0,0,0,1,2,"AVG","NEU",21
"194",194,"Dr.Krutika Kuppalli","True","2020-12-13","In case anyone is interested here is a link to the patient information that is on t… ","['PfizerBioNTech', 'COVID19Vaccine']",2,10,24,0.4019,0.144,0,0.856,13.5,"HIGH","POS",1
"5564",5564,"Glasgow Girl","False","2021-02-17"," MSM will tell you these ""vaccines"" are safe and thoroughly checked etc. How can any… ","['PfizerVaccine', 'PfizerBioNTech']",2,8,19,0.4404,0.172,0,0.828,10.75,"HIGH","POS",67
"109",109,"Sirf News","False","2020-12-14"," A nurse in New York City on Monday became the first person in the United States to receive the corona… ","['BreakingNews']",1,0,0,0.4215,0.128,0,0.872,0,"LOW","POS",2
"5793",5793,"Siva Sai","False","2021-02-20","Single Shot Of Pfizer-BioNTech Covid-19 Vaccine Is 85% Effective, Study Finds ","['DHPSP', 'PfizerBioNTech']",2,7,8,0.4767,0.237,0,0.763,7.25,"AVG","POS",70
"6206",6206,"Williamsnews24","False","2021-02-25","NEWS24 UPDATE- ","['Cuomo', 'CuomoMustResign', 'COVID19', 'China', 'CuomoLiedPeopleDied', 'Cuomo2022', 'Governor', 'Corona']",3,1,2,0,0,0,1,1.25,"AVG","NEU",75
"908",908,"Medical Study Blog","False","2020-12-18"," Pfizer/BioNTech Coronavirus vaccine approved for emegency use by FDA! View the article to know more!… ","",1,0,0,0.5242,0.195,0,0.805,0,"LOW","POS",6
"1167",1167,"Carol Hafner for Congress","True","2020-12-24"," ","['Health', 'DrFauci', 'COVID19', 'coronavirus', 'vaccine', 'corona', 'vaccination', 'vaccines', 'VaccinesWork', 'CDC', 'FDA']",3,0,0,0,0,0,0,0,"LOW","NEU",12
"7550",7550,"MicrobesInfect","False","2021-03-31","The vaccine was safe &amp; effective in adolescents as young as 12. Data from a trial in… ","['PfizerBioNTech', 'coronavirus']",2,2,6,0.7184,0.286,0,0.714,3,"AVG","POS",109
"879",879,"Kemi O","False","2020-12-18","Got the Covid vaccine today. 2nd dose is in 3 weeks 💉 ","['CovidVaccine', 'PfizerCOVIDvaccine', 'PfizerBioNTech']",2,0,2,0,0,0,1,0.5,"LOW","NEU",6
"984",984,"Monica Fibonacci🇨🇦","False","2020-12-21","Gov picked elderly as the first test group. Is that because Trudó have more respect for them? Or because they ar… ","",1,16,56,0.5256,0.145,0,0.855,26,"HIGH","POS",9
"6873",6873,"New Straits Times","True","2021-03-15"," will receive over 183,000 doses of the and Covid-19 for the… ","['NSTnation', 'Malaysia', 'PfizerBioNTech', 'Sinovac', 'vaccines']",3,11,19,0,0,0,1,13,"HIGH","NEU",93
"5975",5975,"Palli Thordarson","False","2021-02-23","mRNA envy [ˈem-ˈär-ˈen-ˈā ˈen-vē] 1. The feeling of envy towards those that already have had the Moderna or Pfizer/… ","",1,3,18,-0.4019,0.069,0.194,0.737,6.75,"AVG","NEG",73
"6445",6445,"Irry","False","2021-03-02","Just vaccinating away. Wbu? ","['GetVaccinated', 'vaccine', 'Pharmacist', 'PfizerBioNTech']",2,0,1,0,0,0,1,0.25,"LOW","NEU",80
"5974",5974,"Dori","False","2021-02-23","done 👊 ","['impfluencer', 'PfizerBioNTech', 'PfizerCovidVaccine']",2,0,7,0,0,0,1,1.75,"AVG","NEU",73
"2150",2150,"Dr.V💙⚕️","False","2021-01-02"," It didn't come out of thin air, I'm afraid. I was listening to a phone in to a radio stat… ","",1,0,0,0,0,0,1,0,"LOW","NEU",21
"2444",2444,"Kayla Madsen","False","2021-01-06","New year, new antibodies 🦠✊🏻💉 ","['PfizerBioNTech', 'vaccinated']",2,1,13,0,0,0,1,4,"AVG","NEU",25
"393",393,"Emi Mei","False","2020-12-15","😂😂😂 New strain of so what… ","['COVID19', 'COVID20', 'COVID21', 'UK', 'Pfizer', 'PfizerBioNTech', 'AstraZeneca', 'Moderna', 'vaccination']",3,0,1,0.8176,0.364,0.22,0.415,0.25,"LOW","POS",3
"6717",6717,"CarpathianViking","False","2021-03-11","What is sad with this 'statement' is that no credit is given to who let tax-payers pay for t… ","['AngelaMerkel', 'German']",2,0,0,-0.6892,0,0.295,0.705,0,"LOW","NEG",89
"3341",3341,"Tafadzwa Muguwe, MD","False","2021-01-13","Dose on board. Still grateful for innovation, feeling sad about continuing loss of lives globally, and hopeful f… ","",1,0,27,0.6124,0.374,0.194,0.432,6.75,"AVG","POS",32
"7182",7182,"IANS Tweets","True","2021-03-30"," ( and vaccines are highly effective in preventing infections in real-wo… ","['PfizerBioNTech', 'Moderna', 'Covid19']",2,1,3,0.4641,0.247,0.099,0.654,1.5,"AVG","POS",108
"6735",6735,"New Straits Times","True","2021-03-10"," said on Tuesday it had bought an additional three million doses of the Covid… ","['NSTworld', 'Switzerland', 'PfizerBioNTech']",2,1,6,0,0,0,1,2.25,"AVG","NEU",88
"5431",5431,"Ministry of Health_Lithuania","False","2021-02-09","This morning by the✈️ from🇩🇪 the 8th batch of jointly developed by - 22230 vaccin… ","['COVID19Vaccines', 'PfizerBiontech']",2,1,3,0,0,0,1,1.5,"AVG","NEU",59
"3774",3774,"Liz Thomas","False","2021-01-16","Feeling grateful. Covid 19 vaccine first dose today . Thank you ","['scientists', 'PfizerBioNTech', 'NHS', 'WeCanDoThis']",2,0,5,0.7184,0.467,0,0.533,1.25,"AVG","POS",35
"954",954,"Steve Schiebel MD CPE FAAP","False","2020-12-19","Feeling good! ","['bandaid', 'shot1done', 'vaccinessavelives', 'COVID19', 'PfizerBioNTech']",3,0,1,0.5707,1,0,0,0.25,"LOW","POS",7
"946",946,"Dr.Krutika Kuppalli","True","2020-12-19","The reporting that at least 272,000 people in the US have received one dose of the ","['ACIP', 'PfizerBioNTech']",2,5,31,0,0,0,1,11.5,"HIGH","NEU",7
"7043",7043,"Jason Veltri🏳️‍🌈","False","2021-03-18","Received my first dose of vaccine 💉 today and I feel great so far, no pain, no fever, no side effec… ","['PfizerBiontech']",1,0,11,0.8784,0.431,0,0.569,2.75,"AVG","POS",96
"4365",4365,"Jan Skerswetat","False","2021-01-22","Just got my 1st vaccine 💉, feeling great 😊 The power of science and reason! Very happy how my univ… ","['PfizerBioNTech']",1,0,11,0.9421,0.455,0,0.545,2.75,"AVG","POS",41
"6816",6816,"Nicole Clapp","False","2021-03-13","The psychological impact of receiving my first shot is insurmountable. I don’t have words. halfway ther… ","['vaccinated']",1,0,0,0,0,0,1,0,"LOW","NEU",91
"3791",3791,"hedi","False","2021-01-16","How will the UK now guarantee no mix and match of vaccines, having given away all 2nd dose of the Pfizer vaccine ?… ","",1,0,0,-0.0516,0.079,0.087,0.833,0,"LOW","NEG",35
"4204",4204,"Bill Buckett","False","2021-01-24","🏥 ARN Messager 🧬 -COMIRNATY. ","['Vaccin', 'PfizerBioNTech', 'COVID19']",2,0,0,0,0,0,1,0,"LOW","NEU",43
"1900",1900,"Scott Mackay 🇨🇦 🏃‍♂️ ☕️ 🍷 8⃣0⃣ 🎵","False","2020-12-29","Back in November, Michelle Rempel Garner suggested that Canadians might not be vaccinated until 2030. Turns out her… ","",1,0,0,0,0,0,1,0,"LOW","NEU",17
"3749",3749,"Usmaan Hafiz","False","2021-01-16"," this why registered hcp such and nurses and pharmacist need to be involved with the planning and su… ","",1,2,22,0,0,0,1,7,"AVG","NEU",35
"5997",5997,"Max Fisher","False","2021-02-22"," Why Ms is blaming and Disgraceful… ","['AstraZeneca', 'PfizerBioNTech']",2,0,2,-0.4939,0,0.39,0.61,0.5,"LOW","NEG",72
"5495",5495,"♫♪Iva Glambert♪♫💚","False","2021-02-11","Thank God for smart scientists and vaccine i stayed healthy while taking care of my mother while sh… ","['PfizerBiontech']",1,0,0,0.9042,0.504,0,0.496,0,"LOW","POS",61
"5284",5284,"Leslie Laurence","False","2021-02-05","Got the jab !!! Thank you healthcare workers, scientists, medical researchers, public health experts… ","",1,0,2,0.5229,0.206,0,0.794,0.5,"LOW","POS",55
"4455",4455,"sadgirl","False","2021-02-01","I’ve never been so conflicted in my life 😔 ","['PfizerBioNTech', 'immunocompromised']",2,0,0,0.0772,0.126,0,0.874,0,"LOW","POS",51
"734",734,"Michelle Dansby","False","2020-12-17","I was so fortunate and PROUD to get my yesterday!!! I am so thankful for everyone who made this histo… ","['CovidVaccine']",1,0,1,0.9377,0.442,0,0.558,0.25,"LOW","POS",5
"7613",7613,"Yahoo India","True","2021-03-30","Pfizer, Moderna's coronavirus vaccines effective even after first dose: Study ","['Pfizer']",1,0,0,0.4767,0.256,0,0.744,0,"LOW","POS",108
"4381",4381,"DBentoBox","False","2021-01-24"," Can’t understand how can use data from the AstraZeneca vaccine (in itself discovered… ","['AnthonyHarnden']",1,0,1,0,0,0,1,0.25,"LOW","NEU",43
"2545",2545,"Fabrizia Cassar","False","2021-01-07","Stay safe, get vaccinated 💉 ","['covid19', 'vaccine', 'PfizerBioNTech']",2,1,41,0.4404,0.42,0,0.58,11,"HIGH","POS",26
"5445",5445,"Idilay","False","2021-02-11","30 hrs has passed since I got the 2nd dose of Pfizer vaccine. Still have fever sweats and chills. This morning was… ","",1,3,0,0,0,0,1,2.25,"AVG","NEU",61
"2369",2369,"Simon Hodes ⬅️2m➡️ 😷","False","2021-01-05","Guess what just arrived... Pizza box 🍕 number 2 ","['PfizerBioNTech']",1,1,27,0.0772,0.14,0,0.86,7.5,"AVG","POS",24
"6996",6996,"Whtrslugcaviiersong#dontstayhomeandcatchcovid19","False","2021-03-16"," SAFETY FIRST ","['vaccineswork', 'safevaccines', 'EUleaders', 'vonderleyen', 'EUCommissioner', 'EUCommission', 'Brussels']",3,0,0,0.4215,0.737,0,0.263,0,"LOW","POS",94
"7049",7049,"🇬🇧🇬🇧 Goldilocks 🇬🇧🇬🇧","False","2021-03-18","Now that Brazil has signed a deal with ","['PfizerBiontech']",1,1,2,0,0,0,1,1.25,"AVG","NEU",96
"6412",6412,"Karim Sultan Haider","False","2021-03-01","Do I now need to put in my ","['Pfizer', 'disclosure', 'Erectilefunction', 'PDE5Inhibitors', 'COVID19Vaccine', 'PfizerBiontech']",3,0,2,0,0,0,1,0.5,"LOW","NEU",79
"208",208,"Getty Images News","True","2020-12-13","Boxes containing the first shipment of the Pfizer-BioNTech are prepared to be sent at the ","['COVID19', 'vaccine', 'Pfizer']",2,6,28,0.2263,0.119,0,0.881,11.5,"HIGH","POS",1
"6559",6559,"Carly Greco","False","2021-03-05","The vaccination site was a joyful place this afternoon. The person behind me signed up to be vaccinat… ","",1,0,26,0.5994,0.187,0,0.813,6.5,"AVG","POS",83
"6079",6079,"New Straits Times","True","2021-02-25"," Kelantan Health director Datuk Dr Zaini Hussin said the rest of the doses will be delivered to the state… ","['NSTnation']",1,2,5,0,0,0,1,2.75,"AVG","NEU",75
"7350",7350,"Eirini Zarkadoula","False","2021-03-26",". has approved Halix site in Leiden, Netherlands ( ) and the facility in the German city of Marburg ( )","['AstraZeneca', 'PfizerBiontech']",2,0,0,0.4215,0.123,0,0.877,0,"LOW","POS",104
"962",962,"🇪🇺 Dr John 🏳️‍🌈 #BLM+N⭕️S 😷","False","2020-12-19"," Refusing doesn’t make you to be honest. Development was rushed &amp; a phase 3 test… ","['SputnikV', 'antivax']",2,0,0,0.1531,0.174,0.142,0.684,0,"LOW","POS",7
"1575",1575,"Dr Terri MD","False","2020-12-26"," Day 3 Post Vaccine ! Ask Questions! Get Answers! Two… ","['covid19vacccine', 'PfizerCovidVaccine', 'PfizerBioNTech']",2,2,5,0,0,0,1,2.75,"AVG","NEU",14
"7249",7249,"Binnie Sandhu","False","2021-03-23","*UPDATE* Just received my second dose of vaccine! Have you had your first dose yet? Did you expe… ","['PfizerBiontech']",1,1,9,0,0,0,1,3,"AVG","NEU",101
"6711",6711,"GG - 💜💍🐶😷🦩🌴🥑🤓🥂","False","2021-03-12","Got my first Pfizer vaccine today! Second jab scheduled for April 2. ","['FauciOuchie', 'PfizerBiontech', 'Pfizer']",2,0,5,0,0,0,1,1.25,"AVG","NEU",90
"1935",1935,"Simon Van Der Linden","False","2020-12-31","One step closer to normality 💉 🦠 Courtesy of ","['PfizerBioNTech', 'CovidVaccine']",2,0,14,0.3612,0.238,0,0.762,3.5,"AVG","POS",19
"556",556,"Whtrslugcaviiersong#dontstayhomeandcatchcovid19","False","2020-12-16"," How touching &amp;inspiring. Forward to 2020 covid19. Iam PROUD TO BE BRITISH from AFRICA &amp; to know th… ","",1,1,0,0.5904,0.184,0,0.816,0.75,"LOW","POS",4
"1450",1450,"ECOMNEWSMED","False","2020-12-22"," has started a massive vaccination campaign against the novel with the Minister of Health… ","['SaudiArabia', 'coronavirus']",2,0,1,0.3182,0.15,0,0.85,0.25,"LOW","POS",10
"3349",3349,"melanomanetwork","False","2021-01-13","There may be an interaction between the influenza vaccine, COVID-19 vaccine, and medications to treat cancer.… ","",1,1,0,0.4019,0.153,0,0.847,0.75,"LOW","POS",32
"3956",3956,"Primis Gaming","False","2021-01-19","Getting my 81 Year Old GrandParents the I’m very thankful that my grandparents can get this vaccine… ","['PfizerVaccine']",1,0,7,0.6115,0.2,0,0.8,1.75,"AVG","POS",38
"203",203,"Jennifer Lee","True","2020-12-13","Dr. Kathy Lofy says the vaccine will be a new tool in our tool box, and says she’ll also get vaccinated as soon as… ","",1,1,4,0,0,0,1,1.75,"AVG","NEU",1
"2547",2547,"Anees انيس M.D.","False","2021-01-07","And the second dose is done!! ","['PfizerBioNTech', 'SouthernCalifornia']",2,0,11,0,0,0,1,2.75,"AVG","NEU",26
"7062",7062,"🍀🍃☘️™® ..........","False","2021-03-18","A: we are not going to get the vaccine, there are so many stories which we are hearing every now &amp; again. Me: I’m… ","",1,3,12,0,0,0,1,5.25,"AVG","NEU",96
"2414",2414,"Craig Davidson RN BSc (Hons) 🏳️‍🌈","False","2021-01-04","Does anyone actually have any answers to how this eight week delay will affect the Pfizer BioNTech vaccine’s effica… ","",1,0,11,-0.3182,0,0.113,0.887,2.75,"AVG","NEG",23
"5757",5757,"𝐇𝐢𝐬𝐡𝐚𝐦 𝐁𝐚𝐡𝐦𝐚𝐝 𝐌𝐃 𝐌𝐒𝐜 𝐌𝐁𝐀꜀","False","2021-02-19","I couldn’t be any prouder to see my dad, a pediatrician who has been practicing medicine since more than 40 years,… ","",1,5,149,0.4939,0.138,0,0.862,41,"HIGH","POS",69
"2689",2689,"CN Wire","False","2021-01-08","European Commission proposed to EU member states to purchase an additional 200 million doses of the COVID19 vaccine… ","",1,1,2,0,0,0,1,1.25,"AVG","NEU",27
"6560",6560,"Dr Rachel Hopkins","False","2021-03-05","Both my parents had their second vaccine today. Huge relief. Many thanks to and… ","['PfizerBioNTech']",1,0,17,0.8074,0.43,0,0.57,4.25,"AVG","POS",83
"6667",6667,"Health Policy Watch - Global Health News Reporting","False","2021-03-08","Duration of protection - ""answer to this question requires passage of time, whatever the data shows"", ...t… ","['vaccine']",1,0,0,0,0,0,1,0,"LOW","NEU",86
"3342",3342,"AF","False","2021-01-13"," Important question for it seems is more dangerous for neurological dise… ","['research', 'Covid_19']",2,0,1,-0.3804,0.127,0.239,0.634,0.25,"LOW","NEG",32
"3415",3415,"Liverpool John Moores University","True","2021-01-13","Might expire before they're even used. supply chain expert Sarah Schiffling looks at bottl… ","['COVIDVaccinations']",1,3,8,0,0,0,1,4.25,"AVG","NEU",32
"4964",4964,"Vax Fax","False","2021-01-31"," dosing schedule. From the British Medical Journal: UK a living laboratory - coul… ","['COVID19', 'vaccine', 'PfizerBioNTech']",2,11,13,0,0,0,1,11.5,"HIGH","NEU",50
"6822",6822,"Andrei Zodian","False","2021-03-12"," Wonderful day today, got some sun, my second… ","['HappyFriday', 'FridayFeeling', 'FridayVibes', 'FridayMotivation']",2,0,0,0.5719,0.346,0,0.654,0,"LOW","POS",90
"5282",5282,"Rollin Willow","False","2021-02-05","Round 1 for the covid vaccine. I Even got a cute sticker because I truly am a kid at heart. ","['CovidVaccine']",1,1,11,0.8779,0.373,0,0.627,3.5,"AVG","POS",55
"5253",5253,"Business Standard","True","2021-02-06","The panel noted that there had been several serious adverse events in the case of the Pfizer-BioNTech vaccine and t… ","",1,3,6,-0.4215,0,0.174,0.826,3.75,"AVG","NEG",56
"1028",1028,"Joanbeam3000","False","2020-12-20"," I immediately thought of stated intentions when I saw all the flak Marco Rubio… ","['PMJT']",1,0,5,0,0,0,1,1.25,"AVG","NEU",8
"4051",4051,"Ian 3.5% #FBPE","False","2021-01-19"," WHO recommended that other countries don’t follow the UK approach. I’ve had my 1st dose… ","",1,4,18,0.2023,0.114,0,0.886,7.5,"AVG","POS",38
"7303",7303,"Laura 𓆌","False","2021-03-31","I’m finally completely vaccinated! Even though I’m grateful for science everyday, today is particularly special! ","['PfizerBioNTech']",1,2,124,0.7634,0.336,0,0.664,32.5,"HIGH","POS",109
"1156",1156,"Whtrslugcaviiersong#dontstayhomeandcatchcovid19","False","2020-12-24"," 🇬🇧 led 🌎 to 🇬🇧 under ","['PfizerBioNTech', 'CovidVaccine', 'conservatives', 'borisjohnson', 'ukprimeminister']",3,0,0,0,0,0,1,0,"LOW","NEU",12
"470",470,"Vineet Gupta","False","2020-12-15"," Please share the latest case and death projections due to using a forecast model that acc… ","['COVID']",1,0,0,-0.1027,0.21,0.182,0.607,0,"LOW","NEG",3
"5421",5421,"Asst. Prof Problems💉get vaccinated😷wear 2 masks","False","2021-02-09","✔First dose of the COVID vaccine is finally in my arm. No side effects yet, except crying for joy. I am SO. THANKF… ","",1,1,6,-0.128,0.122,0.17,0.707,2.25,"AVG","NEG",59
"4538",4538,"Jacque Barsetti","False","2021-01-26","Educated and vaccinated ","['FauciOuchie', 'fauciouchi', 'CovidVaccine', 'PfizerBioNTech']",2,0,2,0,0,0,1,0.5,"LOW","NEU",45
"4766",4766,"Dr. Ted Price of the Dussor/Price Lab","False","2021-01-27","My left arm has some ","['PfizerBioNTech']",1,0,78,0,0,0,1,19.5,"HIGH","NEU",46
"3289",3289,"Melissa","False","2021-01-12","Got my second dose! 💉💉 ","['Vaccine', 'PfizerBioNTech', 'PfizerVaccine', 'PfizerCovidVaccine', 'FrontLineHeroes']",3,0,10,0,0,0,1,2.5,"AVG","NEU",31
"7524",7524,"I'm Returning Sexy For Store Credit","False","2021-03-31","First shot of Pfizer today in Organization at the site is top notch. Thank you to all the… ","['Norfolk', 'MilitaryCircle']",2,0,1,0.5106,0.212,0,0.788,0.25,"LOW","POS",109
"2367",2367,"Fiona Callan","False","2021-01-05","One step closer to normality. Grateful to all those who’ve made this possible ","",1,0,49,0.4588,0.2,0,0.8,12.25,"HIGH","POS",24
"1631",1631,"Tayyaba Ali, MD","False","2020-12-27","Please do not circulate false rumors wildly around social media and online discussion groups that a nurse died afte… ","",1,1,5,-0.3182,0.1,0.157,0.742,2,"AVG","NEG",15
"1792",1792,"Patricia Hamila","False","2021-01-05","Instead of waiting for the allow my parents who are in their 80's to get vaccinated n… ","['ephad', 'COVID19', 'vaccination']",2,0,0,0.2263,0.106,0,0.894,0,"LOW","POS",24
"5498",5498,"Scott Mackay 🇨🇦 🏃‍♂️ ☕️ 🍷 8⃣0⃣ 🎵","False","2021-02-11","👍 A month-long slowdown in Canada's vaccine deliveries should end next week, with the single biggest ship… ","['COVID_19']",1,0,0,0,0,0,1,0,"LOW","NEU",61
"2643",2643,"Darth@Ripple Ⓥ 🇺🇸","False","2021-01-08"," ","['PfizerVaccine', 'PfizerCovidVaccine', 'PfizerBioNTech', 'Pfizer', 'vechain', 'vefam', 'crypto', 'cryptocurrency']",3,3,5,0,0,0,0,3.5,"AVG","NEU",27
"4462",4462,"ℙ𝕙𝕚𝕝 ⚒ #FBPE #RejoinEU #GTTO","False","2021-01-25"," when will the inevita… ","",1,0,1,0,0,0,1,0.25,"LOW","NEU",44
"1212",1212,"Agrivina Gripeus","False","2020-12-24","24 hours post Covid vaccine, some muscle and joint aches. Swollen glands. Felt crappy, took ibuprofen and now I feel fine.","['PfizerBioNTech']",1,0,4,-0.5859,0.071,0.22,0.709,1,"LOW","NEG",12
"3479",3479,"Doc Ifti MD","False","2021-01-15"," S/p my second dose and WOW it definitely knocked me off of my feet. Interesting the variability i… ","['ThursdayThoughts']",1,0,6,0.873,0.398,0,0.602,1.5,"AVG","POS",34
"1241",1241,"Dr. Naveed","False","2020-12-23","Vaccination time 💉 ","['PfizerBioNTech']",1,1,13,0,0,0,1,4,"AVG","NEU",11
"6910",6910,"Manish Singh","False","2021-03-15","Data based on 10.7m first doses of the vaccine and 9.7m doses of the vaccine D… ","['PfizerBioNTech', 'OxfordAstraZeneca']",2,4,8,0,0,0,1,5,"AVG","NEU",93
"1773",1773,"Arslan Hidayat.ئارسلان ھىدايەت","False","2020-12-29","If I remember correctly, the vaccine was developed by Turks yet opts to sell-out the… ","['PfizerBioNTech', 'Turkey']",2,13,34,0,0,0,1,18.25,"HIGH","NEU",17
"276",276,"Dr Anushka Aubeelack🐝🇪🇺","False","2020-12-13","I love high quality infographics for getting across multiple ideas quickly Here is an excellent set from The Fact… ","",1,4,4,0.836,0.317,0,0.683,4,"AVG","POS",1
"3343",3343,"Global Media","False","2021-01-13","What Happened to Nurse Tiffany Dover? Tiffany Dover is the nurse who collapsed during a TV event at CHI Memorial Ho… ","",1,1,0,-0.2732,0,0.095,0.905,0.75,"LOW","NEG",32
"7015",7015,"Fzeroone","False","2021-03-17"," sell to at cost -no profit. sell at a profit. EU politicians g… ","['AstraZeneca', 'vaccine', 'EU', 'PfizerBioNTech']",2,0,0,0.7003,0.345,0,0.655,0,"LOW","POS",95
"6489",6489,"New Straits Times","True","2021-03-05"," An image of a Pfizer-BioNTech Covid-19 vaccine being sold for over RM60 per vial on Shopee has been conf… ","['NSTnation']",1,5,3,0,0,0,1,4.5,"AVG","NEU",83
"4988",4988,"Cheryl Lee","False","2021-01-30"," It would be great to connect and I can put you in touch with our regional team and clinic… ","",1,1,5,0.6249,0.186,0,0.814,2,"AVG","POS",49
"5996",5996,"AS if ❤️💙🇺🇸","False","2021-02-22","Got my 1st jab 💉last night. Completely unexpected and overwhelmed with joy and gratitude. Thank you science! ","['PfizerBioNTech']",1,0,1,0.8848,0.466,0,0.534,0.25,"LOW","POS",72
"551",551,"Whtrslugcaviiersong#dontstayhomeandcatchcovid19","False","2020-12-16","Did someone say there was first? &amp; maybe some in say ","['SputnikV', 'communistchina', 'russia', 'borisjohnson']",2,0,0,0,0,0,1,0,"LOW","NEU",4
"385",385,"Anne Emerson","True","2020-12-15"," Vaccinations for about to begin here ","['NOW', 'PfizerBioNTech', 'COVID19', 'chsnews']",2,2,1,0,0,0,1,1.75,"AVG","NEU",3
"2945",2945,"Sofiane❄","False","2021-01-17"," _ Had You Been Affected by Covid ?","['Covid_19', 'PfizerBioNTech', 'DictatureSanitaire', 'كورونا', 'Pfizer', 'COVID19', 'Vaccin', 'vaccinationCovid']",3,0,1,-0.1531,0,0.186,0.814,0.25,"LOW","NEG",36
"3793",3793,"Ian 3.5% #FBPE","False","2021-01-16"," I'm assuming its only happening with vaccine due to shelf life after defr… ","['PfizerBioNTech']",1,2,6,0,0,0,1,3,"AVG","NEU",35
"6394",6394,"TheGreyAmbition","False","2021-03-02","All these questions people ask me why iv had the injection early .... MY ANSWER IS NONE OF YOUR BEES 🐝 WAX ✌🏼✌🏼✌🏼… ","",1,0,1,0.8625,0.22,0,0.78,0.25,"LOW","POS",80
"3374",3374,"Villa Healthcare","False","2021-01-13","Villa’s Avi Lev, got his Did you get yours?! ","['CMO', 'vaccine', 'WeCanEndThis', 'GetVaccinated', 'Villa']",3,0,4,0,0,0,1,1,"LOW","NEU",32
"4622",4622,"The COVID Blog","False","2021-01-26","""Anyone who might claim this is not a clinical study is simply a liar. This is the most extensive study of human be… ","",1,0,0,-0.5106,0,0.13,0.87,0,"LOW","NEG",45
"1862",1862,"Franz 🇪🇺🎸😷🚲","False","2020-12-30","A Californian nurse, who works at TWO different hospitals caught one week after getting the vaccine. ""We… ","['COVID19']",1,0,0,0,0,0,1,0,"LOW","NEU",18
"6165",6165,"EnviroFra🌹✊ #BLM❤️ #Socialist #JoinAUnion ASAP","False","2021-02-26","Do NOT listen to utterly The Queen Do NOT get vaccinated So many have died after rcvg ","['Corrupt', 'PfizerVaccine']",2,1,3,-0.5945,0,0.195,0.805,1.5,"AVG","NEG",76
"2726",2726,"Post-Polio News (ppn)","False","2021-01-08","Covid-19 vaccination: What’s the evidence for extending the dosing interval? | ","",1,0,0,0,0,0,1,0,"LOW","NEU",27
"2685",2685,"Toni Waterman","False","2021-01-08","Remember, the Commission has acted as an investor here, bankrolling pharmas to build capacity. ""We wouldn’t have… ","",1,0,0,0,0,0,1,0,"LOW","NEU",27
"5222",5222,"Shannon Hough","False","2021-02-04","Extreme thankfulness vaccine selfie! 🤩 ","['COVID19Vaccine', 'PfizerBioNtech', 'TakeYourShot']",2,1,12,0.5697,0.48,0,0.52,3.75,"AVG","POS",54
"6434",6434,"JD","False","2021-03-03","Got my first shot today! ","['PfizerBioNTech', 'vaccine']",2,0,3,0,0,0,1,0.75,"LOW","NEU",81
"1538",1538,"RAVEEN","False","2020-12-21","🔴 European Union has approved the Coronavirus vaccine, the first inoculations to start across 27 co… ","['PfizerBioNTech']",1,1,1,0.4215,0.149,0,0.851,1,"LOW","POS",9
"3998",3998,"Dr Steve Moss 🎓🧬👨🏻‍💻💙🇪🇺🌍","False","2021-01-20","I’m a geek, I know 🤓😂🥰 Courtesy of 🙏 Thank you once again to 💙 Also ","",1,0,4,0.9468,0.439,0.128,0.433,1,"LOW","POS",39
"2378",2378,"Simon Hodes ⬅️2m➡️ 😷","False","2021-01-05","Is there a consent form for patients now attending for 💉 explaining why boosters💉💉 are waiting for… ","['PfizerBioNTech']",1,3,11,0.2263,0.095,0,0.905,5,"AVG","POS",24
"4173",4173,"NoStache United","False","2021-01-20","Forgot to tell y'all that I got my second dose of yesterday. Try not to focus on the… ","['onhere', 'COVID19', 'vaccine']",2,0,16,0,0,0,1,4,"AVG","NEU",39
"6679",6679,"RapidLeaks","False","2021-03-10","A new study suggests that the can protect people against the concerning… ","['PfizerBiontech', 'COVID19Vaccine']",2,0,0,0.3818,0.191,0,0.809,0,"LOW","POS",88
"4057",4057,"Marisha M","False","2021-01-19","Carrot and stick, my ass! ","['BigPharma', 'Carrotandstick', 'Iwonderwhy', 'Moderna', 'PfizerBioNTech', 'Vaccineisgood']",3,0,0,-0.5848,0,0.487,0.513,0,"LOW","NEG",38
"2985",2985,"TyneHealth - North Tyneside GP Federation","False","2021-01-10","The from both and have met strict standards of safety, quality and… ","['CovidVaccine', 'PfizerBioNTech', 'OxfordAstrazeneca']",2,3,7,0.4215,0.203,0,0.797,4,"AVG","POS",29
